"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"cuenta60310017","Tasas","60310017","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320001","Impuesto a las transacciones","60320001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320002","Impuesto a las Transacciones Financieras","60320002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320003","Impuesto a las Utilidades Retenido","60320003","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320004","Impuesto a las Transacciones Retenido","60320004","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320005","Impuestos Remesas al Exterior","60320005","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320006","Impuesto a la Propiedad de Bienes Inmuebles","60320006","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320007","Patentes y Licencias","60320007","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320008","Multas e Infracciones","60320008","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60320009","Otros Impuestos","60320009","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60330001","Refrigerios","60330001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60330002","Ropa del Personal","60330002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60330003","Agasajos","60330003","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60330004","Gastos Varios Personal","60330004","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60340001","Telefonia","60340001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60340002","Internet","60340002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60350001","Seguros Personal","60350001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60350002","Seguros Empresa","60350002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60360001","Comisiones y Gastos Bancarios","60360001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60360002","Intereses Bancarios","60360002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60410001","Depreciacion Edificaciones","60410001","account.data_account_type_depreciation","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60410002","Depreciacion Muebles y Enseres","60410002","account.data_account_type_depreciation","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60410003","Depreciacion Equipos de Computacion","60410003","account.data_account_type_depreciation","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60410004","Depreciacion Herramientas","60410004","account.data_account_type_depreciation","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60410005","Depreciacion Equipos de Comunicacion","60410005","account.data_account_type_depreciation","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60410006","Depreciacion Instalaciones","60410006","account.data_account_type_depreciation","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60420001","Amortizacion Software de Gestion","60420001","account.data_account_type_depreciation","l10n_bo_sin.bo_chart_template_sin","","False"
